,EZ_thresh_3.0,EZ_drift_3.0,EZ_non-decision_3.0,EZ_thresh_2.0,EZ_non-decision_4.0,EZ_drift_4.0,EZ_non-decision_1.0,EZ_drift_2.0,EZ_thresh_1.0,EZ_thresh_4.0,EZ_non-decision_2.0,EZ_drift_1.0
100003,2.16477755078854,1.2079577308456817,0.39104232608162637,1.5219075599534233,0.6348919295372135,0.6681083140341179,0.5136142811738156,0.7414808109976971,1.5181660275314552,1.5507843712207814,0.5857894804931275,0.9131375198627067
100009,1.4273730679887529,0.2840638633314603,0.5323686949839822,1.105550168186495,0.5375975905403874,-0.03228800948811829,0.5228888710900248,-0.16491477459863116,1.3854681229866228,1.3767266324420426,0.5741833335010937,0.5737626594802304
100042,1.610610971201874,0.030292954066383725,0.566468835571675,1.636955434859459,0.6951544550927016,-0.42645336965764125,0.5824500208048655,-0.3360179056838504,1.759576386662012,1.6253762541879015,0.5428217822802867,0.6243618049184111
100051,1.6670635921870223,0.6590104263670226,0.524073157604185,1.6084375016495,0.6248175817697211,0.29535246081245903,0.4880812574436548,0.25208633079765164,1.4325994965533517,1.4385632433753626,0.43109788316151376,0.12726624379849105
100057,1.642207313840593,1.0138840264296445,0.5984176316956672,1.3830814107517084,1.0303850166329322,-0.33635441228387886,0.6488965090247634,0.24932768498732674,1.509733069174312,1.2054698654167106,0.9954964792797387,0.24356940152766862
100059,1.5068459979038489,1.5112807069717993,0.5504482594775195,1.4528851872099038,0.6323052441397524,0.6101773629896663,0.5665022296612778,0.38517550654508315,1.583386440989024,1.5887193068559,0.6742423819098733,1.2808927718399887
100062,1.9173273859920943,1.2009347541878483,0.2955994237559856,1.649958416739042,0.6893238172808223,-1.2491566987162754,0.7527773272454625,1.5848640496070032,1.3041499145852906,1.4984526591621308,0.36673863835844356,-0.456011307515827
100063,1.7539902442703403,2.5590999632950724,0.5890965562770902,1.5867668863003905,0.4487663040313049,-0.3605428927887604,0.3960638262785068,-0.3704303826711223,1.7532771969057017,1.4512784864992898,0.5880604983785797,-0.3953437492846293
100068,1.5449638134929695,0.7110925699834257,0.8122284365083654,1.4877541166441661,0.938786651435631,-0.8548469385509262,0.5941115172585363,-0.584127334820517,1.6013112196263437,1.5887329332375986,0.8347983329865455,0.8481321229174326
100103,1.6970992181090396,1.480352826262806,0.5909356342017962,2.0993604479345582,0.5241649860946802,-0.664347988750597,0.61867109249346,0.645218244507736,2.0545936217358536,2.287695273380246,0.46873060367544206,-0.9034866898872711
100104,1.4580663621912535,0.21840825587660284,0.9772299109824288,1.709335209867772,0.9746564005626082,-0.7882421916810135,0.6575350954418081,-0.028543356439259378,1.8104653543089,1.3937496625563748,0.8691881537316576,0.572279347528458
100105,1.3527793692569352,0.5931096310004019,0.6864191812716735,1.6409180842397784,0.5041820671182048,-0.17392252898639485,0.49127548560290096,-0.3582059766099993,1.4502949383868105,1.6540817002165655,0.6861141318571531,1.2543368905635515
100109,1.478072532605531,0.19463325791235553,0.7498113099002568,1.3306151339664396,0.44640838066340527,-0.08742810371367675,0.6403837169284667,-0.30472004846323264,1.5355127206374097,1.6768460936999778,0.6391444367475128,0.4963423889647251
100110,1.574842243174457,0.15958070046071668,0.7287108775419675,1.6601125703384292,1.0031983314608022,-0.21053912863833177,0.634546976773361,-0.22859270418483804,1.7773704440286926,1.5125631666576373,0.8178501346044819,0.9591405651904185
1001102,0.7103535771892499,2.2656856586861673,0.8778910074034465,,,,0.8309887915178839,,1.3037863764875994,,,1.6852642556793258
100128,1.7222803605499153,0.5825428494948613,0.670960329636053,1.9269494125446582,0.607234824986283,-0.6510227985215574,0.6920983174562427,1.0791365503123413,1.3796825437276241,1.7866514236477469,0.3622594362118077,-0.3986760138554466
100129,1.8801704788188653,1.631795079061654,0.3183834391775904,1.7810624695386432,0.5454319414026167,-0.03247685175962887,0.5731077693736014,1.0363626891629825,1.4708920132515433,1.432405332241001,0.270381018466716,0.8319954290300661
100143,1.5464742830386407,-0.21242129311491942,0.6040904145881862,1.5177914728418864,0.596561261658391,0.2069258928531408,0.6246871557265535,-0.502137523951086,1.5708439183067544,1.5157965710828172,0.872139571998738,0.3562516819230801
100152,2.335362835187541,1.6203861673658821,0.3075673908734471,2.2187601913860715,0.4478945085394236,-0.7185593273829561,0.3504895183696315,1.7055424234713061,1.216698033782979,1.7030958822553905,0.33977145329726044,-0.1834009303199151
100169,1.4416225994248273,0.3629577838009138,0.7134510809000568,,0.5502765478721409,0.4083333942464793,0.5349720528948825,,1.8271761049292758,1.783440959353998,,0.6012623992314269
100180,1.958959678875332,2.2913367835672536,0.3387839908113781,1.8757555138254929,0.2635514013861481,2.027380031646169,0.157813127774743,2.38085831854847,2.384097589550826,2.2140083751774506,0.34327860283372713,1.8827401988094878
100185,1.373794833793359,-0.03235691493182604,0.6123859796980458,1.5617380946150166,0.5570915246948105,-0.26788737237946025,0.1927629321073212,-0.35832883238554364,2.047419269800164,1.7269329190060163,0.5659860981541623,0.3722442507446383
100188,1.5716022232465154,1.0240745963755553,0.6035908573149829,1.660915643517087,0.5382077994599987,1.5083703592485673,0.7031457268469447,0.9859674666758291,1.582332312555358,1.9692872160717125,0.5978970957217452,1.2648923265542567
100191,1.452489213061552,1.270802339803752,0.4241902597470774,1.4366076244078194,0.5836692437388693,-0.39859452354721825,0.4737813954737642,1.1589857489968705,1.4158676412632683,1.65392545541627,0.3895381156350936,0.0943106465131041
100207,1.647349911910981,1.0107189441358253,0.6703322934971232,1.5012914922322198,0.5682060042160123,-0.34358738573476894,0.4803963523266753,0.3233934371131456,2.027060560937517,1.6287436942385771,0.5548829121799805,1.2900254824289892
100214,1.515485422256415,0.6472046768693849,0.5994151095051219,1.7079113374539097,0.34057566719999877,-0.1015882121458129,0.524849708460632,0.7165333497033131,1.5941863654758976,1.7947117381322004,0.5419633662461549,0.14654174457938374
100215,0.9932378161613931,1.6203953235028459,0.5026799385608595,0.910667559668104,0.2709294535830464,0.5320708674153161,-0.0285603772372629,1.2063812716338582,2.282226767128565,1.3027346975922636,0.38161448028890044,0.3037152970701697
100241,1.9474841764400153,1.4696914694123717,0.20507823760823318,2.4548049599535924,0.27476626190323494,1.2889910817358647,0.21982310785801074,1.758790691712603,1.8010146830486038,1.8834484352511118,0.0971029094409035,1.3797259251555705
100243,2.375566523059346,1.5528419929757447,0.5137283612327521,1.6952703505826077,0.7199274313488493,0.827014795523,0.679946320295582,0.05903687191991961,1.867713788336097,1.8186825736595238,0.6699232709258369,1.0998064834792043
100244,2.478689020082159,1.8108912951021834,0.3052248130594293,1.4803912653716222,0.7122234872622504,1.0333374742103343,0.31020387202735966,-2.040288237843761,2.164285535914997,1.6370992564300773,1.0449581457453285,1.0402009167679969
100247,1.5552646254383942,0.7676651606062825,0.5103836179955296,1.263521455324439,0.6587875360420531,-0.8739130769529266,0.4372671060218609,0.21719998860746878,1.4444363698319245,1.4003399924956546,0.6458846654952222,-0.21714875463260377
100250,1.7636327108478416,-0.2409136501902425,0.8854200037664859,1.7368576226120793,1.076927819573109,-0.6177255558616505,0.9416480252610029,-0.4668950440490118,1.699614198543129,1.7235983308271732,0.7620287319930846,-0.40782618852801744
200025,2.289186980507682,1.9607993614993742,0.3614115375728041,1.8688065179878683,,-inf,0.7356805289444067,1.2321152943501201,1.5673722511275343,0.0,0.3801628095038252,-0.7992759649752361
200056,1.7863794333846865,0.48647998895566513,0.3360276478481452,1.5857442558614012,0.5502280595077707,0.3017353518581937,0.5339271479649206,-0.4371115821469061,1.5569183729462925,1.7341293969771838,0.5448368190379442,0.02855111953410482
200061,1.965603378695568,2.283592111400894,0.3354774633242725,2.267114600111408,0.5788561834299407,-0.6889868824257542,0.5709942581766391,1.6590251394917288,1.3679179032748938,1.6378617367064245,0.11397653956799636,0.20062376919312114
200085,1.3845900010841983,1.0012309492588838,0.35249479017614244,1.3796904516977386,0.34664758538393287,0.49037348697172867,0.42344352496920296,0.2665270167469988,1.2668958337768181,1.413508680578212,0.30390453755629715,1.094244944343314
200088,1.710487025676926,1.2157014408553584,0.43400990130081796,1.7739866866903662,0.6741506853433523,-0.5673216248475597,0.49047816721461457,0.21739874583359745,1.6394973676824374,1.7288769016609882,0.6665714825589215,0.1673908425298049
200133,1.686456604063189,0.9081030411779314,0.4683242955427649,1.7058388306311307,0.7286572735063099,-0.3189011319120873,0.7356486164922518,0.779168537738225,1.3887520070438497,1.5647205863682752,0.40001483610926547,-0.032008423638901176
200148,2.4363419884859776,1.5242408841839323,0.41027322684107015,2.335154731727695,0.7293328336680617,-0.37161400544138307,,1.600608973572386,,1.600335560658785,0.3921367400878606,
200156,1.8546779796575714,0.9121130617959922,0.3640062070817657,1.4653193989290207,0.7015723618241216,0.08935201535913997,0.9051753657441378,0.7287425736544701,1.4874319253676285,1.4944418666754047,0.536284066856249,0.28564883321315904
200162,1.6073090406157242,1.293740960284307,0.3723298835550871,1.6242594239018389,0.5231567444237581,0.4978792098472203,0.4550465911502919,0.8361493639302235,1.7007429496166133,1.3921994870455527,0.49546566423313476,1.3538701386432919
200164,1.6462888331347825,0.595781999653171,0.4743658402687734,1.579114562156368,0.3518265552425054,0.07788963375869966,0.4415927282901141,-0.5503323621035388,1.5666938485239545,1.7143666773193444,0.6486960461614126,0.6260503632766574
200166,1.5877348804812292,1.9175256997570367,0.5127974357158339,1.407498645565504,0.767886226880415,-0.39385010983935115,0.6915913988424691,1.4594143590598205,1.0701602476189245,1.0294909103200474,0.5607394427628138,0.20851414712020735
200168,1.3893068221504612,0.44925591605955456,0.4694276800259871,1.7198562490705933,0.3277644802206423,-0.026793312918605768,0.5385683323014532,-0.789672674612847,1.3763925285409557,1.6590618228463152,0.6414079091710113,1.092767771974664
200173,1.7361497601320417,2.5853969932817105,0.30483391572695584,1.4328410221615129,0.5676451404916831,-1.4670125271577261,0.6451316833126365,1.4512716411084412,1.6005872895731141,1.4174667926719513,0.28507485773908997,-1.2833562699622543
200199,1.3701057438576085,0.162865933753359,0.5572802273594104,1.2951396471530778,0.4543901480772897,0.5239940950433876,0.3335914180945655,-0.2839267417483779,1.4850302164783629,1.51705884167276,0.4971490130118937,1.260447199074797
200211,1.5709311069872156,0.5734093247830254,0.36878928395777555,1.716251897510772,0.2396984102543842,0.05393195547858088,0.26726109445928936,-0.23625034803821354,1.5513573979979853,1.6867880535475133,0.35171190722937395,0.8936008961628654
200213,1.7652992412316135,2.143653350962813,0.40925438794208263,1.9689991053982883,0.6650910280454669,-0.3589804014848475,0.8525647243935178,1.5462284514891027,1.462174969782802,1.390023422044811,0.2890296141689178,-0.25149163932134655
200249,2.021328014940776,2.220637292193102,0.5276126698840156,1.4381555792578165,0.7153848619372836,-0.16957400650723137,0.49183833943705235,1.4283042553404477,1.6956131160846752,1.3159065820898326,0.6507407606928337,0.8870404354085947
306065,1.5352565321595415,1.687188499893417,0.40466004776694675,1.199039161366565,0.6154132036478861,-0.8617440274449495,0.5816483348333722,-0.9162438759848369,1.4257705878626465,1.2391622059365797,0.533747515046507,-0.2704940641187767
306587,1.625683478445475,-0.7706069386233142,0.6836960057725728,1.3526825730404506,0.7081879679333725,0.13386338495142414,0.6909356551187611,-0.6182145322689919,1.3768093798744403,1.3619972097681123,0.8247098121432224,0.16207294530093902
310949,1.662978655091157,1.844914200035503,0.40597354155210863,1.5000029018684358,0.528038701698595,-0.321472355755545,0.493179977276479,1.386291679229179,1.2965059918945143,1.321678789352441,0.34073731831812126,0.35682328106490757
311047,2.4165403235295586,1.8574638817431837,0.6902719798323756,1.625572687181632,1.4767187428263067,-0.6045134021914702,1.2573403340400748,0.21213476887927002,1.4467719336806353,1.5699909237025307,1.2578062541697475,0.033723466037461944
311283,1.5143337594599389,1.1171090917727275,0.43997180664473445,1.5094201349022383,0.5807513917207424,-0.0772084124457335,0.7040767495864949,-0.09259313503474029,1.4900265764010168,1.7294927896409753,0.7275880713089776,0.2105046740928904
311444,1.6822731235074697,0.9103613138461867,0.39715432709122134,1.7445846627768777,0.6527606106180166,0.20425583380791298,0.4456264755732907,1.3053349221728223,1.7701702150301364,1.5356112626384628,0.40284339690584814,0.3161367100089273
311479,1.3964551248864374,0.2246098376276492,0.32209009165743135,1.5179479677111074,0.40600082375627267,0.18457688666718144,0.38231919812537857,-0.30476902488673346,1.3376410462070447,1.208946338533544,0.37136994043023175,1.0363724745519773
311760,1.6738505255553755,1.2116662846100645,0.4918053146188355,1.814608875889135,1.0507175274769212,-1.1231973476089858,0.7861415163576307,-1.2259520941857494,1.5068028915417648,1.6196249459533676,1.3930746639684322,-0.24404305446285693
400285,1.8617022941621424,2.0326502501418098,0.2812220016949541,1.6051153261749944,0.6211016836513628,-0.3447911237278357,0.39830702928474604,0.541417699309205,1.219774218896409,1.4472274132929,0.2108518749710846,0.26931546993118965
400742,1.3483449337076139,0.23262412385275988,0.5309122088647698,1.5135669619423626,0.41059822445080896,0.3504946951575805,0.5739757356866761,-0.3457053152726476,1.5935705590105265,1.6967649324316185,0.7118726926902418,0.7861358641522774
402997,1.868910895649412,2.4017390985204914,0.4569271519170311,1.59237598808455,1.086231974405845,-1.3297230296603924,0.9460947739415845,0.8705823068755563,1.663243858311351,1.9846669349550687,0.40866099417686064,-1.1253925078683198
405027,1.7732887290159622,0.8636362177828982,0.43319771129072937,1.57081002140623,0.635120515339137,-0.12259292736517666,0.47161296438673916,0.7600680236325488,1.6042569745914161,1.5584523582963228,0.5419222097710688,0.6305728618921053
406620,1.8758402111036114,2.3928671233096916,0.5618786897277624,1.8164704556780726,0.6650959469283386,-0.5907875490515339,0.9479439725030758,1.2536770294783963,1.726511100054359,1.9688140206628157,0.513812793996059,-0.769839213450811
406925,1.4093864372199378,3.1686895805977375,0.39952538150319994,1.9934165281542666,0.5388566703940378,-1.9022976212469185,0.4690629735340641,1.8983436629885355,1.5215209779779773,1.2234035723910188,0.21056687833930887,-1.1118321963061084
406980,1.8079728947235927,1.2595693727797337,0.6348810583442767,1.9816635309556543,0.8907733444905342,-0.030290327085620027,0.5282776529080587,1.1491694979679756,1.9747189334065782,1.4675233596911785,0.6248889850957381,0.8566667296559365
407209,1.380351498280969,2.741468125061572,0.4661850029562734,1.4052923631780028,0.688298382474449,0.1515636837909579,0.5502383594644739,0.8708333323996756,1.2978448380191312,1.472275849549669,0.5188322149338473,-0.17193392058698512
407260,1.5455554107595373,0.26234265383530003,0.6329749610552977,1.4578343735330008,1.0968897112345766,-1.162938793911159,0.7952715186804967,-0.4522088660089759,1.3064671562682655,1.2933418376368788,0.9197215201146952,-0.42834279090021987
407672,1.4556202238562594,3.083658976543177,0.47824555096947674,1.8890638182755484,0.42795714201737023,-1.8857884784889616,0.3618499031244546,2.364085360933616,1.1748887265105028,1.2341138638460718,0.3282510998671768,-1.7699050937835745
408394,2.339221543421448,1.9091428647337745,0.38612787936869875,1.8814304565649969,0.7920498293373825,-1.0171766690453805,0.663240778864351,1.4026866209200695,1.4760894481422977,1.5056149217438084,0.5149345375376447,-0.0904629409773072
408511,1.6361172540685014,1.8752035818364179,0.3530854001210222,1.6262159721611005,0.6134100275945524,0.49122703770134984,0.4311144296849841,0.4053862710548731,1.357529938902632,1.4824886345404318,0.653217100561174,1.7143472411854774
408662,1.68582710580348,2.244708025450025,0.3273143167615366,1.7837522663629002,0.9562765551499499,-0.8849468398206379,0.5198333403820815,2.1214771273335415,1.3766889582685937,1.6996245752808408,0.24159940627799592,-0.36245744772047056
408952,1.6904129439007265,2.65534902931727,0.3557700649584632,1.4226488521368372,0.7332458507586956,-0.7317348540094225,0.7921074810349238,1.3157162247663015,1.1002911833413178,1.3824692183727165,0.32035362837297354,-1.0256060113023129
408988,1.4097870352652322,-0.22248577338919215,0.6647379846744086,1.5567822595004488,1.1150038510780744,-1.0292005331110272,0.8448110195239366,-1.6797209513906621,1.6551421925205936,1.7934567959451382,0.8547865691752414,-0.8205479204689515
409381,2.3246483670896168,1.627854641369241,0.31407585542970684,2.6209679748522103,1.371254481586991,-0.9962941572445326,0.9115344378460628,1.7125872627212264,1.083026531785273,1.697968414619402,0.2003308043697405,-0.9340499812234017
409850,1.407079062688469,3.190038490911679,0.4941805233849178,1.6497713992387464,0.6456599526904148,-0.946928823172329,0.5144889823142295,1.5996503096325942,1.777381123193886,1.6173088552038712,0.3268273327012999,-0.9517801154719113
409874,1.3698766777657485,0.42907998540481157,0.5278045342023806,1.614011041199067,0.5877825570989199,-0.29197988272558867,0.616318553364281,-0.5181179080282875,1.0350871534728265,1.3886748097958255,0.6169083534092717,0.22569582705929897
411256,2.205426880931324,2.035268731211188,0.2573487849820395,2.2100997388835815,0.8792626669953334,-1.4411961740863224,0.9270192418447287,1.7018237003156749,1.4262601513321853,1.4428580779421947,0.14574051111306285,-0.952227041388383
411477,1.8585418593853051,0.2181630217585026,0.4942060337040731,1.6806701898209844,0.625762056282196,-0.14937448518395038,0.5279715886598446,0.05954973150778795,1.6021245958956418,1.8372404454736635,0.5596162665060936,0.7819385406757526
